id,symbol,code
"s-express/src/test/scala/org/ensime/sexp/SexpPackageSpec.scala:20:58","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(SexpCons(foosym,SexpNil))"
"s-express/src/test/scala/org/ensime/sexp/SexpPackageSpec.scala:56:5","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(\nSexpList(\nfookey,\nbarsym,\nbarkey,\nfoosym\n)\n)"
"s-express/src/test/scala/org/ensime/sexp/SexpPackageSpec.scala:14:71","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(SexpList(List(foosym,barsym)))"
"s-express/src/test/scala/org/ensime/sexp/SexpCompactPrinterSpec.scala:10:47","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(expect)"
"s-express/src/test/scala/org/ensime/sexp/formats/BigIntConvertorSpec.scala:49:5","_root_.org.scalatest.prop.GeneratorDrivenPropertyChecks#forAll(Lscala/Function1;Lorg/scalatest/prop/Configuration/PropertyCheckConfigurable;Lorg/scalacheck/Arbitrary;Lorg/scalacheck/Shrink;Lorg/scalatest/enablers/CheckerAsserting;Lorg/scalactic/Prettifier;Lorg/scalactic/source/Position;)Ljava/lang/Object;.","forAll{(bitset:BitSet)=>\ntoBitSet(fromBitSet(bitset))should===(bitset)\n}"
"s-express/src/test/scala/org/ensime/sexp/formats/BigIntConvertorSpec.scala:37:70","_root_.org.scalacheck.Gen.containerOf(Lorg/scalacheck/Gen;Lorg/scalacheck/util/Buildable;Lscala/Function1;)Lorg/scalacheck/Gen;.","Gen.containerOf[Stream,Int](Gen.chooseNum(0,2*Short.MaxValue))"
"s-express/src/test/scala/org/ensime/sexp/formats/BigIntConvertorSpec.scala:23:68","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(bigint)"
"s-express/src/test/scala/org/ensime/sexp/formats/BigIntConvertorSpec.scala:48:53","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(bitset)"
"s-express/src/test/scala/org/ensime/sexp/formats/BigIntConvertorSpec.scala:29:66","_root_.org.scalactic.TripleEqualsSupport#`===`(Ljava/lang/Object;)Lorg/scalactic/TripleEqualsSupport/TripleEqualsInvocation;.","===(bitset)"
"s-express/src/test/scala/org/ensime/sexp/formats/CollectionFormatsSpec.scala:66:65","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(collection.SortedMap[String,String](),SexpNil)"
"s-express/src/test/scala/org/ensime/sexp/formats/CollectionFormatsSpec.scala:62:78","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(collection.Map('foo'->'foo'),SexpList(SexpList(foo,foo)))"
"s-express/src/test/scala/org/ensime/sexp/formats/CollectionFormatsSpec.scala:48:57","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(collection.SortedSet[String](),SexpNil)"
"s-express/src/test/scala/org/ensime/sexp/formats/CollectionFormatsSpec.scala:125:44","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(im.List[String](),SexpNil)"
"s-express/src/test/scala/org/ensime/sexp/formats/CollectionFormatsSpec.scala:78:47","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(im.Iterable(foos:_*),expect)"
"s-express/src/test/scala/org/ensime/sexp/formats/CollectionFormatsSpec.scala:126:43","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(im.List(foos:_*),expect)"
"s-express/src/test/scala/org/ensime/sexp/formats/CollectionFormatsSpec.scala:68:46","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(collection.SortedMap('foo'->'foo'),\nSexpList(SexpList(foo,foo)))"
"s-express/src/test/scala/org/ensime/sexp/formats/CollectionFormatsSpec.scala:130:46","_root_.org.ensime.sexp.formats.FormatSpec#assertFormat(Ljava/lang/Object;Lorg/ensime/sexp/Sexp;Lorg/ensime/sexp/SexpFormat;Lorg/scalactic/source/Position;)V.","assertFormat(im.Vector[String](),SexpNil)"
